publicationYear,title,isPartOf,docType,issueNumber,volumeNumber,creator
1982,"One Step Forward, Two Steps Back: More on the Class/Criminality Controversy",American Sociological Review,article,3,47,Charles R. Tittle; Wayne J. Villemez; Douglas A. Smith
2016,How Parents Fare,American Sociological Review,article,5,81,Kelly Musick; Ann Meier; Sarah Flood
2018,The Social Ecology of Speculation,American Sociological Review,article,6,83,Adam Goldstein
1996,Self-Employment and the Earnings of Immigrants,American Sociological Review,article,2,61,Alejandro Portes; Min Zhou
2009,Why Targets Matter: Toward a More Inclusive Model of Collective Violence,American Sociological Review,article,5,74,Andrew W. Martin; Clark McPhail; John D. McCarthy
1969,The Classification of Subnations in Hawaii: An Essay in the Sociology of Knowledge,American Sociological Review,article,6,34,William Petersen
2005,Cross-National Cultural Diffusion: The Global Spread of Cricket,American Sociological Review,article,1,70,Jason Kaufman; Orlando Patterson
1979,"Structural Determinants of Urbanization in Asia and Latin America, 1950- 1970",American Sociological Review,article,2,44,Glenn Firebaugh
1978,A Rule for Inferring Individual-Level Relationships from Aggregate Data,American Sociological Review,article,4,43,Glenn Firebaugh
2014,"Unmasking the Conflicting Trends in Job Tenure by Gender in the United States, 1983-2008",American Sociological Review,article,1,79,Matissa N. Hollister; Kristin E. Smith
2011,Protesting While Black?,American Sociological Review,article,1,76,David A. Armstrong II; Christian Davenport; Sarah A. Soule
2007,"Animal Practices, Ethnicity, and Community: The Turkish Pigeon Handlers of Berlin",American Sociological Review,article,6,72,Colin Jerolmack
2018,The Authentic Appeal of the Lying Demagogue: Proclaiming the Deeper Truth about Political Illegitimacy,American Sociological Review,article,1,83,Oliver Hahl; Minjae Kim; Ezra W. Zuckerman Sivan
2014,Overwork and the Slow Convergence in the Gender Gap in Wages,American Sociological Review,article,3,79,Youngjoo Cha; Kim A. Weeden
1961,"On the Investigation of Cruelty, Dignity, and Determinism",American Sociological Review,article,2,26,Robert Kastenbaum
2004,Structural Incoherence and Stock Market Activity,American Sociological Review,article,3,69,Ezra W. Zuckerman
1981,Beliefs vs. Data: More on the Illness Behavior of Men and Women,American Sociological Review,article,1,46,Walter R. Gove; Michael Hughes
1968,The Future of Upward Mobility,American Sociological Review,article,1,33,John Porter
2003,Protest under Fire? Explaining the Policing of Protest,American Sociological Review,article,4,68,Jennifer Earl; Sarah A. Soule; John D. McCarthy
1984,"Education and Intergroup Attitudes: Moral Enlightenment, Superficial Democratic Commitment, or Ideological Refinement?",American Sociological Review,article,6,49,Mary R. Jackman; Michael J. Muha
1983,A Spatial Autocorrelation Model of the Effects of Population Density on Fertility,American Sociological Review,article,1,48,Colin Loftin; Sally K. Ward
1976,Status Attainment and Status Maintenance: A Study of Stratification in Old Age,American Sociological Review,article,6,41,John C. Henretta; Richard T. Campbell
1966,"The Division of Labor, Technology, and the Organization of Production in Twelve Countries",American Sociological Review,article,1,31,Jack P. Gibbs; Harley L. Browning
2006,"The Conditional Nature of Embeddedness: A Study of Borrowing by Large U.S. Firms, 1973–1994",American Sociological Review,article,2,71,Linda Brewster Stearns; Mark S. Mizruchi
1980,Unconfounding the Confluence Model: A Test of Sibship Size and Birth-Order Effects on Intelligence,American Sociological Review,article,4,45,Lala Carr Steelman; James A. Mercy
1988,Occupational Disputes in Mechanical and Organic Social Systems: An Empirical Study of Elementary and Secondary Schools,American Sociological Review,article,4,53,Ronald G. Corwin; Robert E. Herriott
2015,Elements of Professional Expertise,American Sociological Review,article,5,80,Rebecca L. Sandefur
2014,"Union Strength, Neoliberalism, and Inequality: Contingent Political Analyses of U.S. Income Differences since 1950",American Sociological Review,article,4,79,David Jacobs; Lindsey Myers
1979,Making it in America: Differences Between Eminent Blacks and White Ethnic Groups,American Sociological Review,article,3,44,Stanley Lieberson; Donna K. Carter
2011,"Toward a Theory of Cultural Appropriation: Buddhism, the Vietnam War, and the Field of U.S. Poetry",American Sociological Review,article,4,76,Barιş Büyükokutan
1953,Student Reaction to Impending Military Service,American Sociological Review,article,3,18,"Edward A. Suchman; Robin M. Williams, Jr.; Rose K. Goldsen"
2008,"The Rise of Intra-Occupational Wage Inequality in the United States, 1983 to 2002",American Sociological Review,article,1,73,ChangHwan Kim; Arthur Sakamoto
2012,Segregation and Poverty Concentration: The Role of Three Segregations,American Sociological Review,article,3,77,Lincoln Quillian
1956,The Elements of Identification with an Occupation,American Sociological Review,article,3,21,Howard S. Becker; James Carper
2017,What Makes Popular Culture Popular? Product Features and Optimal Differentiation in Music,American Sociological Review,article,5,82,Michael Mauskapf; Noah Askin
1991,Ethnic Movements and the Competition Model: Some Missing Links,American Sociological Review,article,4,56,Sarah Bélanger; Maurice Pinard
1936,Civilization and Culture: A Contribution Toward Analysis of the Mechanism of Culture,American Sociological Review,article,3,1,Richard C. Thurnwald
2006,"Networks, Race, and Hiring",American Sociological Review,article,1,71,Isabel Fernandez-Mateo; Roberto M. Fernandez
1982,Testing the Theory of Status Integration and Suicide Rates,American Sociological Review,article,2,47,Jack P. Gibbs
1936,American Intellectuals and Social Reform,American Sociological Review,article,3,1,Howard B. Woolston
1981,Logistic Regression Models with Continuous Independent Variables,American Sociological Review,article,6,46,Paul P. L. Cheung; Herbert L. Smith
2014,Economies of Dying: The Moralization of Economic Scarcity in U.S. Hospice Care,American Sociological Review,article,5,79,Roi Livne
2010,Who Benefits Most from College? Evidence for Negative Selection in Heterogeneous Economic Returns to Higher Education,American Sociological Review,article,2,75,Jennie E. Brand; Yu Xie
1960,Illegitimacy in the Caribbean Social Structure,American Sociological Review,article,1,25,William J. Goode
1979,The Paradigm Concept and Sociology: A Critical Review,American Sociological Review,article,6,44,"Douglas Lee Eckberg; Lester Hill, Jr."
2019,Between Tolerant Containment and Concerted Constraint,American Sociological Review,article,4,84,Neil Gong
1972,Cumulative Sociological Knowledge,American Sociological Review,article,4,37,Lee Freese
1982,"Reply to ""On the Use of Self-Report Data to Determine the Class Distribution of Criminal and Delinquent Behavior""",American Sociological Review,article,3,47,Travis Hirschi; Michael J. Hindelang; Joseph Weis
2018,The Cultural-Cognitive Mapping of Scientific Professions,American Sociological Review,article,3,83,Gordon Gauchat; Kenneth T. Andrews
2018,Political Consequences of Survival Strategies among the Urban Poor,American Sociological Review,article,5,83,Matthew Desmond; Adam Travis
2015,How National Institutions Mediate the Global,American Sociological Review,article,5,80,Giselinde Kuipers
1994,A Logical Approach to Formalizing Organizational Ecology,American Sociological Review,article,4,59,Gábor Péli; Jeroen Bruggeman; Michael Masuch; Breanndán Ó Nualláin
2018,The Authentic Appeal of the Lying Demagogue: Proclaiming the Deeper Truth about Political Illegitimacy,American Sociological Review,article,1,83,Oliver Hahl; Minjae Kim; Ezra W. Zuckerman Sivan
2005,"From Poverty to Perversity: Ideas, Markets, and Institutions over 200 Years of Welfare Debate",American Sociological Review,article,2,70,Margaret R. Somers; Fred Block
2020,Pluralistic Collapse: The “Oil Spill” Model of Mass Opinion Polarization,American Sociological Review,article,3,85,Daniel DellaPosta
2006,"Care in Context: Men's Unpaid Work in 20 Countries, 1965–2003",American Sociological Review,article,4,71,Jennifer L. Hook
2004,Racial and Ethnic Differences in Marriage after the Birth of a Child,American Sociological Review,article,6,69,Kristen Harknett; Sara S. McLanahan
2011,"""I Need Help!"" Social Class and Children's Help-Seeking in Elementary School",American Sociological Review,article,6,76,Jessica McCrory Calarco
1989,Religion and the Rise of Liberal-Democratic Ideology in 17th-Century England,American Sociological Review,article,2,54,David Zaret
1980,"Heredity, Environment, and Public Policy Reconsidered",American Sociological Review,article,5,45,Christopher Jencks
2014,Overwork and the Slow Convergence in the Gender Gap in Wages,American Sociological Review,article,3,79,Kim A. Weeden; Youngjoo Cha
1983,"Race, Political Orientation, and Participation: An Empirical Test of Four Competing Theories",American Sociological Review,article,4,48,Thomas M. Guterbock; Bruce London
2005,Unequal But Fluid: Social Mobility in Chile in Comparative Perspective,American Sociological Review,article,3,70,Florencia Torche
1980,Mead and Blumer: The Convergent Methodological Perspectives of Social Behaviorism and Symbolic Interactionism,American Sociological Review,article,3,45,Herbert Blumer
2009,Ethnic Politics and Armed Conflict: A Configurational Analysis of a New Global Data Set,American Sociological Review,article,2,74,Andreas Wimmer; Lars-Erik Cederman; Brian Min
1965,Social Class and Premarital Sexual Permissiveness: A Re-Examination,American Sociological Review,article,5,30,Ira L. Reiss
2020,Elaborating on the Abstract: Group Meaning-Making in a Colombian Microsavings Program,American Sociological Review,article,3,85,Kristen McNeill; Laura B. Doering
2012,Segregation and Poverty Concentration,American Sociological Review,article,3,77,Lincoln Quillian
1957,Social Class Differences in Child Rearing: A Third Community for Comparison with Chicago and Newton,American Sociological Review,article,6,22,Richard A. Littman; Robert C. A. Moore; John Pierce-Jones
2002,Forging Social Order and Its Breakdown: Riot and Reform in U.S. Prisons,American Sociological Review,article,4,67,Bert Useem; Jack A. Goldstone
1997,The Spread of Sharecropping in Tuscany: The Political Economy of Transaction Costs,American Sociological Review,article,3,62,Rebecca Jean Emigh
2019,Structural Sexism and Health in the United States,American Sociological Review,article,3,84,Patricia Homan
1952,Review of Current Research on the Sociology of Rural Life,American Sociological Review,article,1,17,Neal Gross
2005,"Diffusion, Development, and Democracy, 1800-1999",American Sociological Review,article,1,70,Barbara Wejnert
2017,"Rising Intragenerational Occupational Mobility in the United States, 1969 to 2011",American Sociological Review,article,3,82,Benjamin F. Jarvis; Xi Song
1964,Detecting Causal Priorities in Panel Study Data,American Sociological Review,article,6,29,Donald C. Pelz; Frank M. Andrews
2019,Public Ideas,American Sociological Review,article,3,84,Tim Hallett; Orla Stapleton; Michael Sauder
2006,When Do National Movements Adopt or Reject International Agendas? A Comparative Analysis of the Chinese and Indian Women's Movements,American Sociological Review,article,6,71,Dongxiao Liu
2015,Historical Sociology's Puzzle of the Missing Transitions: A Case Study of Early Modern Japan,American Sociological Review,article,3,80,Mark Cohen
1961,Alienation and Integration of Student Intellectuals,American Sociological Review,article,5,26,Jan Hajda
1979,The Variability of Paradigms in the Production of Culture: A Comparison of the Arts and Sciences,American Sociological Review,article,3,44,Remi Clignet
1981,A Dynamic Study of Change in a Regional Corporate Network,American Sociological Review,article,4,46,Joseph Galaskiewicz; Stanley Wasserman
1970,Letter on a Book Review: Reply,American Sociological Review,article,4,35,Jon P. Miller
2004,When Do Movements Matter? The Politics of Contingency and the Equal Rights Amendment,American Sociological Review,article,4,69,Sarah A. Soule; Susan Olzak
1980,Analyzing Collapsed Contingency Tables Without Actually Collapsing,American Sociological Review,article,1,45,Paul D. Allison
2007,Dynamics of Political Polarization,American Sociological Review,article,5,72,Delia Baldassarri; Peter Bearman
1980,Sex Differences in Physical Health and How Medical Sociologists View Illness,American Sociological Review,article,3,45,Walter R. Gove; Michael Hughes
2013,"Alliances and Perception Profiles in the Iranian Reform Movement, 1997 to 2005",American Sociological Review,article,6,78,Mohammad Ali Kadivar
2005,A Comparative Study of Inequality and Corruption,American Sociological Review,article,1,70,Jong-Sung You; Sanjeev Khagram
1985,State Structures and Ideological Outcomes,American Sociological Review,article,6,50,Robert Wuthnow
2004,When Do Movements Matter? The Politics of Contingency and the Equal Rights Amendment,American Sociological Review,article,4,69,Sarah A. Soule; Susan Olzak
2008,Religion and the Construction of Civic Identity,American Sociological Review,article,1,73,Paul Lichterman
2005,Civic Associations and Authoritarian Regimes in Interwar Europe: Italy and Spain in Comparative Perspective,American Sociological Review,article,2,70,Dylan Riley
1942,A Study of Some Poorly Adjusted Families,American Sociological Review,article,1,7,Raymond R. Willoughby
1943,Terminology,American Sociological Review,article,2,8,Albert G. Keller
2013,Decomposing School Resegregation,American Sociological Review,article,5,78,Jeremy E. Fiel
2012,Symmetry Is Beautiful,American Sociological Review,article,6,77,Uri Shwed; Peter S. Bearman
2017,When Two Bodies Are (Not) a Problem: Gender and Relationship Status Discrimination in Academic Hiring,American Sociological Review,article,6,82,Lauren A. Rivera
1997,Risk and Power Use: Constraints on the Use of Coercion in Exchange,American Sociological Review,article,1,62,Linda D. Molm
1967,A System Resource Approach to Organizational Effectiveness,American Sociological Review,article,6,32,Ephraim Yuchtman; Stanley E. Seashore
2018,Risky Investments,American Sociological Review,article,4,83,Kimberly Kay Hoang
1996,Keiretsu Networks and Corporate Performance in Japan,American Sociological Review,article,1,61,James R. Lincoln; Michael L. Gerlach; Christina L. Ahmadjian
1988,"Cross-National Variation in Occupational Distributions, Relative Mobility Chances, and Intergenerational Shifts in Occupational Distributions",American Sociological Review,article,5,53,Robert M. Hauser; David B. Grusky
2016,The Privatization of Political Representation,American Sociological Review,article,6,81,Jeremy R. Levine
2010,"Occupations and the Structure of Wage Inequality in the United States, 1980s to 2000s",American Sociological Review,article,3,75,Ted Mouw; Arne L. Kalleberg
2007,Who Pays the Price of Brokerage? Transferring Constraint through Price Setting in the Staffing Sector,American Sociological Review,article,2,72,Isabel Fernandez-Mateo
1983,Social Mobility and Immigrants or Immigrants and Social Mobility,American Sociological Review,article,4,48,Andrea Tyree; Moshe Semyonov
1965,"Sociology of Yesterday, Today and Tomorrow",American Sociological Review,article,6,30,Pitirim A. Sorokin
2017,Demonstrating Power: How Protest Persuades Political Representatives,American Sociological Review,article,2,82,Ruud Wouters; Stefaan Walgrave
1994,Political Conflict in the World Economy: A Cross-National Analysis of Modernization and World-System Theories,American Sociological Review,article,2,59,Mansoor Moaddel
2007,"Working More and Feeling Better: Women's Health, Employment, and Family Life, 1974-2004",American Sociological Review,article,2,72,Jason Schnittker
2019,Measuring Automatic Cognition,American Sociological Review,article,2,84,Andrew Miles; Raphaël Charron-Chénier; Cyrus Schleifer
2017,Ambiguity and Scientific Authority: Population Classification in Genomic Science,American Sociological Review,article,1,82,Aaron Panofsky; Catherine Bliss
2016,"Money Supply, Class Power, and Inflation: Monetarism Reassessed",American Sociological Review,article,3,81,Ho-fung Hung; Daniel Thompson
1938,Teacher and Community Relations,American Sociological Review,article,2,3,Lloyd A. Cook; Ronald B. Almack
2012,Globalization and Commitment in Corporate Social Responsibility: Cross-National Analyses of Institutional and Political-Economy Effects,American Sociological Review,article,1,77,Alwyn Lim; Kiyoteru Tsutsui
2013,"Alliances and Perception Profiles in the Iranian Reform Movement, 1997 to 2005",American Sociological Review,article,6,78,Mohammad Ali Kadivar
2020,"A Numbers Game: Quantification of Work, Auto-Gamification, and Worker Productivity",American Sociological Review,article,4,85,Alan Benson; Aruna Ranganathan
1995,"Income Inequality, Development, and Dualism: Results from an Unbalanced Cross-National Panel",American Sociological Review,article,5,60,François Nielsen; Arthur S. Alderson
1996,"Resource Mobilization by Local Social Movement Organizations: Agency, Strategy, and Organization in the Movement Against Drinking and Driving",American Sociological Review,article,6,61,John D. McCarthy; Mark Wolfson
1998,Sex Differences in Research Productivity: New Evidence about an Old Puzzle,American Sociological Review,article,6,63,Yu Xie; Kimberlee A. Shauman
1980,"Darwin, Sociobiology and Sociology",American Sociological Review,article,3,45,Charles J. Morgan
1999,"Much Ado about Siblings: Change Models, Sibship Size, and Intellectual Development: Comment on Guo and VanWey",American Sociological Review,article,2,64,Douglas B. Downey; Brian Powell; Lala Carr Steelman; Shana Pribesh
2017,When Two Bodies Are (Not) a Problem: Gender and Relationship Status Discrimination in Academic Hiring,American Sociological Review,article,6,82,Lauren A. Rivera
2009,Radicalism or Reformism? Socialist Parties before World War I,American Sociological Review,article,4,74,Gary Marks; Heather A. D. Mbaye; Hyung Min Kim
2018,The Paradox of Persistence,American Sociological Review,article,6,83,Christina Ciocca Eller; Thomas A. DiPrete
2018,"Educational Inequality, Educational Expansion, and Intergenerational Income Persistence in the United States",American Sociological Review,article,6,83,Deirdre Bloome; Shauna Dyer; Xiang Zhou
1936,Imagination in Social Science,American Sociological Review,article,4,1,Claude C. Bowman
2012,Moving Beyond Deterrence: The Effectiveness of Raising the Expected Utility of Abstaining from Terrorism in Israel,American Sociological Review,article,4,77,Laura Dugan; Erica Chenoweth
2006,Scar Effects of Unemployment: An Assessment of Institutional Complementarities,American Sociological Review,article,6,71,Markus Gangl
1977,Legitimating Myths and Educational Organization: The Relationship Between Organizational Ideology and Formal Structure,American Sociological Review,article,2,42,David H. Kamens
2010,Cultural Foundations of Tokenism: Evidence from the Leveraged Buyout Industry,American Sociological Review,article,6,75,Catherine J. Turco
1985,Unequal Organizations or Unequal Attainments? An Empirical Comparison of Sectoral and Individualistic Explanations for Aggregate Inequality,American Sociological Review,article,2,50,David Jacobs
1999,Sibship Size and Academic Achievement: What We Now Know and What We Still Need to Know: Comment on Guo and VanWey,American Sociological Review,article,2,64,Meredith Phillips
2009,Discrimination in a Low-Wage Labor Market: A Field Experiment,American Sociological Review,article,5,74,Devah Pager; Bart Bonikowski; Bruce Western
2016,Ripples of Fear: The Diffusion of a Bank Panic,American Sociological Review,article,2,81,Henrich R. Greve; Ji-Yub (Jay) Kim; Daphne Teh
1946,The Naval Reserve Officer: A Study in Assimilation,American Sociological Review,article,2,11,Roland L. Warren
2008,The Colonial State as a Social Field: Ethnographic Capital and Native Policy in the German Overseas Empire before 1914,American Sociological Review,article,4,73,George Steinmetz
1992,"Macroeconomic Structure and Labor's Share of Income: United States, 1950 to 1980",American Sociological Review,article,2,57,Lawrence E. Raffalovich; Kevin T. Leicht; Michael Wallace
2017,Denunciation and Social,American Sociological Review,article,2,82,Patrick Bergemann
2006,"The Conditional Nature of Embeddedness: A Study of Borrowing by Large U.S. Firms, 1973-1994",American Sociological Review,article,2,71,Mark S. Mizruchi; Linda Brewster Stearns; Christopher Marquis
2012,Moving Beyond Deterrence,American Sociological Review,article,4,77,Laura Dugan; Erica Chenoweth
1992,Ideology as Episodic Discourse: The Case of the Iranian Revolution,American Sociological Review,article,3,57,Mansoor Moaddel
1946,The Voluntary Associations of Urban Dwellers,American Sociological Review,article,6,11,Mirra Komarovsky
2019,Between Tolerant Containment and Concerted Constraint: Managing Madness for the City and the Privileged Family,American Sociological Review,article,4,84,Neil Gong
1966,Some Religious Factors in the Emergence of Industrial Society in England,American Sociological Review,article,5,31,Herman Israel
2004,Revisiting the Contact Hypothesis: The Case of Public Exposure to Homelessness,American Sociological Review,article,1,69,Barrett A. Lee; Chad R. Farrell; Bruce G. Link
2018,The Social Ecology of Speculation: Community Organization and Non-occupancy Investment in the U.S. Housing Bubble,American Sociological Review,article,6,83,Adam Goldstein
1973,The Ecological Approach in Measuring Community Power Concentration: An Analysis of Hawley's MPO Ratio,American Sociological Review,article,2,38,James M. Williams
2008,"The Rise of Intra-Occupational Wage Inequality in the United States, 1983 to 2002",American Sociological Review,article,1,73,ChangHwan Kim; Arthur Sakamoto
2015,Issue Table of Contents,American Sociological Review,article,3,80,
2016,Sexual Orientation in the Labor Market,American Sociological Review,article,6,81,Trenton D. Mize
1968,Accounts,American Sociological Review,article,1,33,Marvin B. Scott; Stanford M. Lyman
2013,"The Capitalist Machine: Computerization, Workers’ Power, and the Decline in Labor’s Share within U.S. Industries",American Sociological Review,article,3,78,Tali Kristal
1961,Characteristics of Five Offender Types,American Sociological Review,article,1,26,Norman S. Hayner
1944,Individual and Social Origins of Neurosis,American Sociological Review,article,4,9,Erich Fromm
2018,Policy Entrepreneurs and the Origins of the Regulatory Welfare State: Child Labor Reform in Nineteenth-Century Europe,American Sociological Review,article,1,83,Elisabeth Anderson
1949,"The Ward-Ross Correspondence IV, 1906-1912",American Sociological Review,article,1,14,Bernhard J. Stern
1971,An Alternative to Parsons' Four-Function Paradigm as a Basis for Developing General Sociological Theory,American Sociological Review,article,4,36,Robert R. Blain
1977,Reply to McConaghy,American Sociological Review,article,2,42,Vern L. Bengston
2010,"Threat, Resistance, and Collective Action: The Cases of Sobibór, Treblinka, and Auschwitz",American Sociological Review,article,2,75,Thomas V. Maher
2002,Why More Americans Have No Religious Preference: Politics and Generations,American Sociological Review,article,2,67,Michael Hout; Claude S. Fischer
1988,Commitment and the Modern Union: Assessing the Link Between Premarital Cohabitation and Subsequent Marital Stability,American Sociological Review,article,1,53,Neil G. Bennett; Ann Klimas Blanc; David E. Bloom
1983,Weber on Action,American Sociological Review,article,4,48,Stephen P. Turner
1958,Diffusion and Belief in a Collective Delusion: The Seattle Windshield Pitting Epidemic,American Sociological Review,article,2,23,Nahum Z. Medalia; Otto N. Larsen
2018,"The Institutional Determinants of Health Insurance: Moving Away from Labor Market, Marriage, and Family Attachments under the ACA",American Sociological Review,article,6,83,Carmen M. Gutierrez
2000,"Civil Rights Liberalism and the Suppression of a Republican Political Realignment in the United States, 1972 to 1996",American Sociological Review,article,4,65,Clem Brooks
2015,Working for Free in the VIP: Relational Work and the Production of Consent,American Sociological Review,article,6,80,Ashley Mears
1990,"Race, Class, and Gender in the U.S. Welfare State: Nixon's Failed Family Assistance Plan",American Sociological Review,article,1,55,Jill Quadagno
2014,Racial Inequality Trends and the Intergenerational Persistence of Income and Family Structure,American Sociological Review,article,6,79,Deirdre Bloome
2005,Cultural Politics and Modernist Architecture: The Tulip Debate in Postwar Hungary,American Sociological Review,article,1,70,Virág Molnár
2005,A Clash of Capitalisms: Foreign Shareholders and Corporate Restructuring in 1990s Japan,American Sociological Review,article,3,70,Christina L. Ahmadjian; Gregory E. Robbins
1989,Density Dependence in the Evolution of Populations of Newspaper Organizations,American Sociological Review,article,4,54,Glenn R. Carroll; Michael T. Hannan
2015,"How National Institutions Mediate the Global: Screen Translation, Institutional Interdependencies, and the Production of National Difference in Four European Countries",American Sociological Review,article,5,80,Giselinde Kuipers
1994,The Gender-Poverty Gap: What We Can Learn from Other Countries,American Sociological Review,article,4,59,Lynne M. Casper; Sara S. McLanahan; Irwin Garfinkel
1968,Interaction and Adaptation: Intimacy as a Critical Variable,American Sociological Review,article,1,33,Marjorie Fiske Lowenthal; Clayton Haven
1979,Mead vs. Blumer: The Divergent Methodological Perspectives of Social Behaviorism and Symbolic Interactionism,American Sociological Review,article,3,44,Clark McPhail; Cynthia Rexroat
2015,The Price of Protection: A Trajectory Analysis of Civil Remedies for Abuse and Women’s Earnings,American Sociological Review,article,1,80,Melanie M. Hughes; Lisa D. Brush
2014,Does Fertility Behavior Spread among Friends?,American Sociological Review,article,3,79,Nicoletta Balbo; Nicola Barban
2009,Radicalism or Reformism? Socialist Parties before World War I,American Sociological Review,article,4,74,Hyung Min Kim; Heather A. D. Mbaye; Gary Marks
2010,Making the News,American Sociological Review,article,6,75,Kenneth T. Andrews; Neal Caren
1998,The Simple Virtues of Descriptive Modeling,American Sociological Review,article,6,63,David B. Grusky; Jerald R. Herting; Stephen E. Van Rompaey
1974,Stratification Processes and Outcomes in England and the U.S.,American Sociological Review,article,6,39,Alan C. Kerckhoff
1993,Collective Action and Network Structure,American Sociological Review,article,2,58,Roger V. Gould
1987,Initiation of Coitus in Early Adolescence,American Sociological Review,article,6,52,J. Richard Udry; John O. G. Billy
1986,On Work and Alienation,American Sociological Review,article,1,51,Kai Erikson
2002,"Identifying the Unprecedented: Hannah Arendt, Totalitarianism, and the Critique of Sociology",American Sociological Review,article,6,67,Peter Baehr
1988,Shame and Conformity: The Deference-Emotion System,American Sociological Review,article,3,53,Thomas J. Scheff
2014,Prisoners and Paupers: The Impact of Group Threat on Incarceration in Nineteenth-Century U.S. Cities,American Sociological Review,article,3,79,Suzanne Shanahan; Susan Olzak
2002,Confessional Protest: The Religious Birth of U.S. National Social Movements,American Sociological Review,article,5,67,Michael P. Young
2017,Why Should Women Get Less? Evidence on the Gender Pay Gap from Multifactorial Survey Experiments,American Sociological Review,article,1,82,Thomas Hinz; Carsten Sauer; Katrin Auspurg
2015,Index,American Sociological Review,article,6,80,
1998,Socially Embedded Consumer Transactions: For What Kinds of Purchases Do People Most Often use Networks?,American Sociological Review,article,5,63,Paul DiMaggio; Hugh Louch
2013,The Mechanics of Social Capital and Academic Performance in an Indian College,American Sociological Review,article,6,78,Sharique Hasan; Surendrakumar Bagde
1997,The Impacts of Social Movements on the Political Process: The Civil Rights Movement and Black Electoral Politics in Mississippi,American Sociological Review,article,5,62,Kenneth T. Andrews
1961,Functional Unities in Eighty-Eight Community Systems,American Sociological Review,article,3,26,Christen T. Jonassen
2012,Politics of Organizational Adornment,American Sociological Review,article,1,77,Jeffrey J. Sallaz
1945,Delinquency Treatment in the Controlled Activity Group,American Sociological Review,article,3,10,Harry Manuel Shulman
2008,Beyond the Industrial Paradigm: Market-Embedded Labor and the Gender Organization of Global Service Work in China,American Sociological Review,article,1,73,Eileen M. Otis
2014,Does Fertility Behavior Spread among Friends?,American Sociological Review,article,3,79,Nicoletta Balbo; Nicola Barban
2006,"Comment on Steffensmeier and Ulmer, ASR, February 2006: Cultural Assets or Structural Advantages in Numbers Gambling?",American Sociological Review,article,1,71,Jennifer Lee
1967,"From Religious Community to Occupational Group: Structural Assimilation Among Professors, Lawyers, and Engineers",American Sociological Review,article,4,32,Harold L. Wilensky; Jack Ladinsky
1979,Reply to Stark,American Sociological Review,article,4,44,Charles R. Tittle; Wayne Villemez; Douglas Smith
2007,Workers of the Less Developed World Unite? A Multilevel Analysis of Unionization in Less Developed Countries,American Sociological Review,article,4,72,Nathan D. Martin; David Brady
1975,"Parsons on Durkheim, Revisited",American Sociological Review,article,1,40,Whitney Pope
1996,"Principals and Agents, Colonialists and Company Men: The Decay of Colonial Control in the Dutch East Indies",American Sociological Review,article,1,61,Julia Adams
2018,The Paradox of Persistence: Explaining the Black-White Gap in Bachelor’s Degree Completion,American Sociological Review,article,6,83,Christina Ciocca Eller; Thomas A. DiPrete
2015,Us and Them,American Sociological Review,article,4,80,Maria Abascal
2016,"Whose Backyard and What’s at Issue? Spatial and Ideological Dynamics of Local Opposition to Fracking in New York State, 2010 to 2013",American Sociological Review,article,5,81,Fedor A. Dokshin
1996,"""A True American System of Finance"": Frame Resonance in the U.S. Labor Movement, 1866 to 1886",American Sociological Review,article,6,61,Sarah Babb
2012,"Revenge of the Managers: Labor Cost-Cutting and the Paradoxical Resurgence of Managerialism in the Shareholder Value Era, 1984 to 2001",American Sociological Review,article,2,77,Adam Goldstein
1980,The Effects of Crowding Found in The Toronto Study: Some Methodological and Empirical Questions,American Sociological Review,article,5,45,Walter R. Gove; Michael Hughes
1959,The Myth of Functional Analysis as a Special Method in Sociology and Anthropology,American Sociological Review,article,6,24,Kingsley Davis
2018,The Mark of a Woman’s Record,American Sociological Review,article,2,83,Natasha Quadlin
2007,Does Money Whiten? Intergenerational Changes in Racial Classification in Brazil,American Sociological Review,article,6,72,Luisa Farah Schwartzman
2015,Historical Sociology’s Puzzle of the Missing Transitions,American Sociological Review,article,3,80,Mark Cohen
1963,Prestige vs. Excellence as Determinants of Role Attractiveness,American Sociological Review,article,2,28,"Eugene Burnstein; Robert Moulton; Paul Liberty, Jr."
2008,Agricultural Revolution and Elite Reproduction in Qing China: The Transition to Capitalism Debate Revisited,American Sociological Review,article,4,73,Ho-fung Hung
1973,A Cross-Species Comparison of Status in Small Established Groups,American Sociological Review,article,5,38,Allan Mazur
2018,It’s Only Wrong If It’s Transactional: Moral Perceptions of Obfuscated Exchange,American Sociological Review,article,6,83,Gabriel Rossman; Oliver Schilke
1983,The Sociological Import of G. H. Mead's Theory of the Past,American Sociological Review,article,2,48,David R. Maines; Noreen M. Sugrue; Michael A. Katovich
2008,Make Money Surfing the Web? The Impact of Internet Use on the Earnings of U.S. Workers,American Sociological Review,article,2,73,Bart Bonikowski; Paul DiMaggio
2015,After State Socialism,American Sociological Review,article,2,80,Andrew G. Walder; Andrew Isaacson; Qinglian Lu
2014,Protest on the Fly: Toward a Theory of Spontaneity in the Dynamics of Protest and Social Movements,American Sociological Review,article,6,79,David A. Snow; Dana M. Moss
2014,Varieties of Capitalism and Job Quality: The Attainment of Civic Principles at Work in the United States and Germany,American Sociological Review,article,5,79,John Godard; Carola Frege
1987,"Urbanization and Underdevelopment: A Global Study of Modernization, Urban Bias, and Economic Dependency",American Sociological Review,article,2,52,York W. Bradshaw
